Question;Category;Exercise_Category
Was sind Regeln für Variablen-Namen?;z;Übungen 1 - 3
Was sind Module? Wie kann man sie verwenden? (Beispiel Numpy);a;Übungen 1 - 3
Was passiert bei Fehlern im Programm? Warum zeigt der automatische Test alle Variablen als falsch an, obwohl der Fehler erst in einer späteren Zeile im Programm vorliegt?;b;Übungen 1 - 3
Was sind Vorteile vom „Interactive mode“ bzw. Python in der Konsole auszuführen?;a;Übungen 1 - 3
Was sind Datentypen? Welche kennt ihr? Was ist ihre Bedeutung?;b;Übungen 1 - 3
Warum können manche Variablennamen zu einem Problem werden (z.B.: print = „Ausgabetext“)?;a;Übungen 1 - 3
Als Beispiel f(x) = x² mit x im Bereich von 0, ..., 10. Wie gehen Sie vor?;b;Übungen 1 - 3
Was sind die Unterschiede zwischen Skript und Funktion? (Deklarationszeile, Workspace, Input, Output, Reihenfolge der Parameter, Aufruf, …)? Warum schreibt man überhaupt Funktionen?;c;Übungen 1 - 3
Wie deklariert man Funktionen in Python? Wie ruft man sie auf und verwendet die Rückgabewerte weiter? Welche Relevanz hat die Wahl der Namen der Parameter?;b;Übungen 1 - 3
Wie erzeugt man und rechnet mit Vektoren und Matrizen in Python?;b;Übungen 1 - 3
Wie kann man in Python n normalverteilten Zufallszahlen mit Mittelwert a und Standardabweichung s erzeugen?;b;Übungen 1 - 3
Wie kann man in Python gleichverteilte Zufallszahlen in einem bestimmten halboffenen Intervall erzeugen? Was ist der Unterschied zwischen einem offenen einem geschlossenen und einem halboffenen Intervall (Am Unterschied rand und randint);b;Übungen 1 - 3
Welche Möglichkeiten gibt es Zahlen in Zeichenketten zu konvertieren? (fstring, Nachkommastellen);z;Übungen 1 - 3
Erzeugung von Vektoren und Zugriff mit Indizes? Unterschied zwischen Einzelindex (ravel) und Subindizes? Rolle von „-1“ und „:“ (colon)? Einfache Befehle wie „zeros“, ...?;b;Übungen 1 - 3
Welche Möglichkeiten gibt es, um herauszufinden was eine Funktion macht, bzw. wie Sie aufgerufen wird?;z;Übungen 1 - 3
Wie kann man Funktionen und Skripte dokumentieren? (docstring) Wie ruft man den Hilfetext auf?;z;Übungen 1 - 3
Was habt ihr aus der Verwendung der Funktion „polyfit“ für euch mitgenommen?;b;Übungen 1 - 3
Was ist der Vorteil von automatischen Tests?;z;Übungen 1 - 3
